      0	1500.00	  50.00
      1	1612.50	  52.50
      2	1731.42	  55.72
      3	1856.33	  59.79
      4	1986.47	  64.91
      5	2120.64	  71.31
      6	2257.09	  79.31
      7	2393.30	  89.28
      8	2525.80	 101.71
      9	2649.92	 117.23
     10	2759.59	 136.58
     11	2847.10	 160.61
     12	2903.17	 190.27
     13	2917.29	 226.49
     14	2878.66	 269.91
     15	2778.03	 320.62
     16	2610.49	 377.62
     17	2378.65	 438.44
     18	2095.07	 498.89
     19	1781.97	 553.52
     20	1467.00	 596.80
     21	1175.94	 624.67
     22	 926.25	 635.66
     23	 724.48	 630.97
     24	 568.37	 613.59
     25	 450.83	 587.10
     26	 363.57	 554.86
     27	 299.06	 519.55
     28	 251.28	 483.13
     29	 215.71	 446.96
     30	 189.07	 411.90
     31	 169.04	 378.50
     32	 153.95	 347.05
     33	 142.63	 317.69
     34	 134.24	 290.45
     35	 128.17	 265.30
     36	 123.98	 242.17
     37	 121.37	 220.96
     38	 120.10	 201.55
     39	 120.00	 183.81
     40	 120.98	 167.64
     41	 122.93	 152.90
     42	 125.83	 139.49
     43	 129.64	 127.30
     44	 134.35	 116.22
     45	 139.98	 106.16
     46	 146.54	  97.03
     47	 154.09	  88.75
     48	 162.66	  81.24
     49	 172.32	  74.44
     50	 183.14	  68.28
     51	 195.20	  62.70
     52	 208.60	  57.65
     53	 223.45	  53.09
     54	 239.86	  48.97
     55	 257.97	  45.24
     56	 277.94	  41.89
     57	 299.91	  38.86
     58	 324.07	  36.14
     59	 350.62	  33.70
     60	 379.78	  31.51
     61	 411.77	  29.56
     62	 446.86	  27.82
     63	 485.33	  26.28
     64	 527.49	  24.93
     65	 573.66	  23.75
     66	 624.22	  22.74
     67	 679.54	  21.88
     68	 740.06	  21.18
     69	 806.23	  20.63
     70	 878.54	  20.23
     71	 957.51	  19.98
     72	1043.69	  19.90
     73	1137.67	  19.99
     74	1240.07	  20.26
     75	1351.52	  20.75
     76	1472.65	  21.48
     77	1604.10	  22.49
     78	1746.47	  23.85
     79	1900.28	  25.63
     80	2065.96	  27.94
     81	2243.69	  30.92
     82	2433.38	  34.76
     83	2634.42	  39.75
     84	2845.51	  46.24
     85	3064.27	  54.78
     86	3286.77	  66.08
     87	3506.84	  81.20
     88	3715.16	 101.55
     89	3898.04	 129.12
     90	4036.18	 166.54
     91	4103.70	 217.11
     92	4068.60	 284.49
     93	3896.72	 371.79
     94	3562.01	 479.49
     95	3064.25	 602.33
     96	2447.82	 726.67
     97	1803.23	 831.88
     98	1233.52	 898.70
     99	 802.59	 919.68
    100	 513.79	 901.53
