1,0.101,0.101,0.101,0.101
2,0.136199,0.236077,0.299637,0.340496
3,0.176473,0.468897,0.69252,0.842095
4,0.217995,0.647485,0.702689,0.498642
5,0.25571,0.593445,0.689427,0.937493
6,0.285484,0.627297,0.706588,0.219749
7,0.305974,0.607868,0.684161,0.642973
8,0.318531,0.619747,0.71308,0.860845
9,0.325603,0.612717,0.67517,0.449216
10,0.329379,0.616966,0.723741,0.927829
11,0.331333,0.614429,0.659802,0.25111
12,0.332327,0.615956,0.740729,0.705202
13,0.332829,0.615041,0.633764,0.779596
14,0.333081,0.61559,0.765954,0.644348
15,0.333207,0.615261,0.591586,0.859364
16,0.33327,0.615459,0.79732,0.453216
17,0.333302,0.61534,0.533283,0.929292
18,0.333318,0.615411,0.821344,0.246405
19,0.333325,0.615369,0.484235,0.696336
20,0.333329,0.615394,0.82418,0.792945
21,0.333331,0.615379,0.478195,0.615687
22,0.333332,0.615388,0.823431,0.887312
23,0.333333,0.615383,0.479795,0.37496
24,0.333333,0.615386,0.823653,0.878869
25,0.333333,0.615384,0.479321,0.399219
